BoroCode,Program,RackType,Latitude,Longitude,FEMAFldz,HrcEvac
1,Bike Racks,Large Hoop,40.714224,-74.009898,X,4
3,Bike Racks,Large Hoop,40.698778,-73.938292,X,0
3,Bike Racks,U Rack,40.700588,-73.943532,X,5
3,Bike Racks,Small Hoop,40.641828,-73.948528,X,5
3,Bike Racks,Large Hoop,40.636405,-73.990586,X,0
1,Bike Corral,Bike Corral,40.772737,-73.981383,X,0
5,Bike Racks,U Rack,40.624174,-74.137929,X,0
4,Bike Racks,U Rack,40.744437,-73.927696,X,0
3,Bike Racks,U Rack,40.645414,-74.009897,X,0
2,Bike Racks,U Rack,40.843452,-73.885643,X,0
1,Bike Racks,Large Hoop,40.734013,-73.999835,X,4
3,Bike Racks,Large Hoop,40.679187,-73.887165,X,6
3,Bike Racks,U Rack,40.700537,-73.995202,X,0
3,Bike Corral,Bike Corral,40.662637,-73.995522,X,0
3,Bike Racks,Large Hoop,40.678443,-73.91282,X,0
1,Bike Racks,U Rack,40.725911,-74.000863,X,4
3,Bike Racks,Large Hoop,40.67809,-73.890987,X,0
3,Bike Racks,U Rack,40.585322,-73.951546,AE,1
3,Bike Racks,Small Hoop,40.642487,-73.948598,X,5
3,Bike Racks,Large Hoop,40.636269,-73.990727,X,0
1,Bike Racks,Wave Rack,40.728741,-73.998466,X,6
3,Bike Racks,Large Hoop,40.663061,-73.890185,X,4
3,Bike Racks,Large Hoop,40.624261,-73.996244,X,0
1,Bike Racks,U Rack,40.742945,-73.993145,X,6
3,Bike Racks,Large Hoop,40.698395,-73.98192,X,3
3,Bike Racks,U Rack,40.662063,-73.939866,X,0
2,Bike Racks,U Rack,40.812806,-73.902077,X,6
1,Bike Racks,Large Hoop,40.745933,-73.994434,X,5
1,Bike Racks,Large Hoop,40.712297,-73.980074,X,4
3,Bike Racks,U Rack,40.689737,-73.986209,X,0
1,Bike Racks,U Rack,40.725563,-74,X,5
3,Bike Racks,U Rack,40.724505,-73.941399,X,6
1,Bike Racks,Wave Rack,40.754918,-73.975402,X,0
3,Bike Racks,U Rack,40.60479,-73.978965,X,5
4,Bike Racks,U Rack,40.747438,-73.8852,X,0
1,Bike Racks,Small Hoop,40.779773,-73.959714,X,0
1,Bike Racks,U Rack,40.726643,-73.990386,X,0
1,Bike Racks,Large Hoop,40.786456,-73.942237,AE,1
2,Bike Racks,U Rack,40.810762,-73.921546,X,6
1,Bike Racks,Small Hoop,40.763048,-73.965345,X,0
4,Bike Racks,Small Hoop,40.746487,-73.883785,X,0
1,Bike Racks,Wave Rack,40.731743,-73.983315,X,5
2,Bike Racks,U Rack,40.819302,-73.88946,X,0
1,Bike Racks,Small Hoop,40.775717,-73.987324,X,0
1,Bike Corral,Bike Corral,40.784564,-73.935368,X,5
3,Bike Racks,U Rack,40.683393,-73.99961,X,0
1,Bike Racks,U Rack,40.765652,-73.991206,X,6
1,Bike Racks,U Rack,40.73099488,-74.0063753,X,4
3,Bike Racks,Small Hoop,40.711301,-73.948222,X,0
3,Bike Racks,U Rack,40.683462,-73.966518,X,0
4,Bike Racks,Large Hoop,40.728299,-73.735674,X,0
2,Bike Racks,Large Hoop,40.858008,-73.901809,X,0
1,Bike Racks,U Rack,40.734998,-74.006728,X,4
2,Bike Racks,Large Hoop,40.852507,-73.899851,X,0
1,Bike Racks,Small Hoop,40.8181,-73.941864,X,6
1,Bike Corral,Bike Corral,40.728175,-73.984857,X,4
1,Bike Racks,U Rack,40.722485,-74.006032,AE,2
4,Bike Racks,U Rack,40.745143,-73.920934,X,0
1,Bike Racks,U Rack,40.74587323,-73.97795063,X,5
5,Bike Racks,U Rack,40.609723,-74.148618,X,0
3,Bike Racks,Wave Rack,40.694678,-73.993721,X,0
3,Bike Racks,Large Hoop,40.682639,-73.87557,X,0
1,Bike Racks,U Rack,40.741241,-74.007185,X,2
1,Bike Racks,Small Hoop,40.825544,-73.948121,X,0
3,Bike Racks,Small Hoop,40.642217,-73.979207,X,0
1,Bike Racks,U Rack,40.722891,-73.977712,X,2
3,Bike Racks,Large Hoop,40.639053,-74.035973,X,2
3,Bike Racks,U Rack,40.678452,-73.955104,X,0
1,Bike Racks,Large Hoop,40.798518,-73.946031,X,4
3,Bike Racks,U Rack,40.70306,-73.989665,X,1
3,Bike Racks,U Rack,40.585733,-73.954198,X,1
3,Bike Racks,Wave Rack,40.685183,-73.946959,X,0
3,Bike Racks,U Rack,40.726757,-73.957342,X,2
1,Bike Racks,Small Hoop,40.82885,-73.948893,X,0
3,Bike Racks,Large Hoop,40.68365,-73.914786,X,0
4,Bike Racks,Large Hoop,40.680289,-73.753408,X,5
5,Bike Racks,U Rack,40.562854,-74.099156,AE,1
3,Bike Racks,U Rack,40.724936,-73.95152,X,3
1,Bike Racks,Small Hoop,40.855909,-73.929034,X,0
1,Bike Racks,U Rack,40.726836,-74.002126,X,5
3,Bike Racks,Large Hoop,40.617466,-73.963645,X,6
3,Bike Racks,Small Hoop,40.643866,-73.976718,X,0
3,Bike Racks,U Rack,40.678045,-73.979435,X,5
1,Bike Racks,U Rack,40.738887,-73.99932,X,6
4,Bike Racks,U Rack,40.757678,-73.862295,X,0
3,Bike Racks,Wave Rack,40.674124,-74.002049,AE,2
3,Bike Racks,Large Hoop,40.705342,-73.920787,X,0
4,Bike Racks,Small Hoop,40.748813,-73.873357,X,0
4,Bike Racks,Large Hoop,40.761619,-73.822296,X,0
