Unnamed: 0,BoroCode,Latitude,Longitude,HrcEvac,Program_Bike Racks,RackType_DOT Sled (Black),RackType_GFI Sled (Silver - Right),RackType_GFI Sled (Silver),RackType_Large Hoop,RackType_Opal Rack (Parks),RackType_Other DOT,RackType_Other Non-DOT,RackType_Small Hoop,RackType_Staple (Parks),RackType_U Rack,RackType_U Rack (DOT),RackType_Undetermined,RackType_Wave Rack,RackType_Wave Rack (Non DOT),RackType_Wave Rack (Non-DOT),RackType_Wave Rack (Parks),FEMAFldz_AE,FEMAFldz_VE,FEMAFldz_X,Cluster
71,1,40.743978,-73.991887,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
72,3,40.646641,-74.001453,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
73,1,40.736224,-73.998379,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
74,1,40.849045,-73.932895,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
75,1,40.729673,-73.993089,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4
76,3,40.683164,-73.96566,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
77,3,40.711435,-73.945342,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
78,4,40.730092,-73.862978,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
79,1,40.734974,-74.00744,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
80,4,40.762434,-73.831775,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
81,3,40.683623,-73.995215,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
82,3,40.68192,-74.000414,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
83,1,40.725891,-73.988836,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
84,4,40.593697,-73.761662,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
85,4,40.700528,-73.90301,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
86,3,40.6195,-74.032774,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7
87,1,40.804888,-73.954925,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
88,3,40.675481,-73.967214,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
89,4,40.747222,-73.887236,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
90,3,40.67675,-73.998674,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
91,1,40.825948,-73.950591,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
92,1,40.73034,-73.989838,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4
93,1,40.79761,-73.940116,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
94,3,40.670916,-73.933633,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
95,1,40.82118,-73.939203,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
96,2,40.831016,-73.916548,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
97,1,40.726791,-73.98698,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
98,3,40.679414,-73.96845,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
99,3,40.612455,-74.011417,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8
100,1,40.798332,-73.939881,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
101,1,40.714541,-74.00988,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
102,3,40.621638,-73.96472,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
103,1,40.759424,-73.994774,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4
104,3,40.635434,-73.984424,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
105,2,40.860972,-73.892274,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
106,3,40.691951,-73.906201,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
107,3,40.613106,-73.939296,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
108,3,40.636445,-73.951654,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
109,3,40.714004,-73.949735,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
110,1,40.725019,-73.987329,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111,5,40.637944,-74.073608,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5
112,3,40.675859,-73.971374,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
113,2,40.829251,-73.875084,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
114,3,40.698896,-73.917019,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
115,4,40.583408,-73.821937,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
116,5,40.586759,-74.070217,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7
117,3,40.648973,-74.009262,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
118,3,40.711468,-73.961407,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
119,1,40.764224,-73.982277,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
120,1,40.73641428,-73.99660524,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
121,4,40.721391,-73.759527,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
122,1,40.780718,-73.95278,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
123,1,40.758391,-73.962723,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
124,1,40.779438,-73.953625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
125,3,40.709322,-73.937286,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
126,3,40.720029,-73.956687,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
127,1,40.725749,-73.996406,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
128,4,40.765798,-73.772068,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
129,1,40.869447,-73.916686,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
130,4,40.755568,-73.828237,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
131,1,40.786164,-73.976005,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
132,1,40.756514,-73.964081,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
133,3,40.720699,-73.947782,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
134,3,40.663971,-73.983903,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
135,4,40.745114,-73.916327,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
136,1,40.72939739,-74.00203583,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
137,1,40.865101,-73.922124,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
138,3,40.716878,-73.954413,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
139,1,40.729155,-73.981169,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
140,1,40.729677,-73.982616,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
141,1,40.786806,-73.972084,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
142,1,40.833246,-73.945261,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
143,1,40.782209,-73.953497,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
144,4,40.768395,-73.773404,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
145,1,40.812391,-73.942275,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
146,3,40.713854,-73.957778,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
147,1,40.740434,-74.003943,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
148,1,40.763999,-73.964966,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
149,4,40.695893,-73.742327,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
150,3,40.686413,-73.916517,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
151,1,40.714224,-74.009898,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
152,3,40.698778,-73.938292,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
153,3,40.700588,-73.943532,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
154,3,40.641828,-73.948528,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
155,3,40.636405,-73.990586,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
156,1,40.772737,-73.981383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
157,5,40.624174,-74.137929,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5
158,4,40.744437,-73.927696,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
159,3,40.645414,-74.009897,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
160,2,40.843452,-73.885643,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
161,1,40.734013,-73.999835,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
162,3,40.679187,-73.887165,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
163,3,40.700537,-73.995202,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
164,3,40.662637,-73.995522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
165,3,40.678443,-73.91282,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
166,1,40.725911,-74.000863,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
167,3,40.67809,-73.890987,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
168,3,40.585322,-73.951546,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
169,3,40.642487,-73.948598,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
170,3,40.636269,-73.990727,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
171,1,40.728741,-73.998466,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4
172,3,40.663061,-73.890185,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
173,3,40.624261,-73.996244,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
174,1,40.742945,-73.993145,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
175,3,40.698395,-73.98192,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
176,3,40.662063,-73.939866,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
177,2,40.812806,-73.902077,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
178,1,40.745933,-73.994434,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
179,1,40.712297,-73.980074,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
180,3,40.689737,-73.986209,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
181,1,40.725563,-74.0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
182,3,40.724505,-73.941399,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
183,1,40.754918,-73.975402,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4
184,3,40.60479,-73.978965,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
185,4,40.747438,-73.8852,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
186,1,40.779773,-73.959714,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
187,1,40.726643,-73.990386,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
188,1,40.786456,-73.942237,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
189,2,40.810762,-73.921546,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
190,1,40.763048,-73.965345,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
191,4,40.746487,-73.883785,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
192,1,40.731743,-73.983315,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4
193,2,40.819302,-73.88946,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
194,1,40.775717,-73.987324,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
195,1,40.784564,-73.935368,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
196,3,40.683393,-73.99961,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
197,1,40.765652,-73.991206,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
198,1,40.73099488,-74.0063753,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
199,3,40.711301,-73.948222,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
200,3,40.683462,-73.966518,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
201,4,40.728299,-73.735674,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
202,2,40.858008,-73.901809,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
203,1,40.734998,-74.006728,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
204,2,40.852507,-73.899851,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
205,1,40.8181,-73.941864,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
206,1,40.728175,-73.984857,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
207,1,40.722485,-74.006032,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
208,4,40.745143,-73.920934,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
209,1,40.74587323,-73.97795063,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
210,5,40.609723,-74.148618,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5
211,3,40.694678,-73.993721,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4
212,3,40.682639,-73.87557,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
213,1,40.741241,-74.007185,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
214,1,40.825544,-73.948121,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
215,3,40.642217,-73.979207,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
216,1,40.722891,-73.977712,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
217,3,40.639053,-74.035973,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
218,3,40.678452,-73.955104,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
219,1,40.798518,-73.946031,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
220,3,40.70306,-73.989665,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
221,3,40.585733,-73.954198,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
